words,links,capital_words,spam_word_count,is_spam
118,8,3,0,1
315,3,21,3,1
288,7,18,3,1
39,1,0,0,0
316,8,11,8,1
638,4,5,9,1
418,1,21,6,1
591,1,18,9,1
205,1,1,1,0
198,7,22,8,1
220,2,0,2,0
64,9,24,2,1
132,0,26,5,1
603,10,11,3,1
243,2,1,2,0
162,8,12,8,1
269,2,1,0,0
151,1,3,6,0
126,2,0,2,0
311,1,8,5,1
253,2,0,1,0
114,8,4,2,1
66,0,1,2,0
269,0,15,5,1
452,6,12,6,1
706,6,7,4,1
250,2,3,6,0
259,1,0,0,0
218,1,3,2,0
182,2,0,5,0
156,2,1,0,0
64,9,21,5,1
39,0,0,2,0
422,5,1,0,0
208,0,0,1,0
208,1,2,0,0
248,10,3,3,1
600,8,15,6,1
209,3,0,0,0
164,9,25,6,1
495,5,1,5,0
170,8,23,4,1
64,9,10,6,1
256,4,3,8,1
165,0,1,1,0
955,6,10,8,1
78,2,0,2,0
162,4,2,5,0
459,7,27,3,1
75,0,2,1,0
69,4,1,3,0
191,0,3,2,0
193,6,5,2,1
493,2,5,1,0
788,3,10,3,1
552,4,23,9,1
189,2,3,1,0
396,5,7,9,1
159,6,19,7,1
337,9,25,4,1
389,1,27,2,1
184,0,1,3,0
151,10,8,1,1
496,2,3,0,0
154,2,3,5,0
646,4,5,7,1
523,7,18,7,1
133,1,2,2,0
262,1,0,0,0
149,6,5,0,1
50,3,26,2,1
97,4,15,10,1
239,1,3,6,0
114,8,0,3,1
301,1,9,2,0
243,5,9,4,1
252,2,1,1,0
181,2,2,0,0
62,2,3,0,0
82,1,3,2,0
56,3,1,5,1
338,6,25,4,1
134,0,2,5,0
204,1,1,3,0
507,0,21,8,1
672,5,13,10,1
209,4,2,4,1
260,2,7,1,0
126,0,0,1,0
281,1,1,0,0
992,9,18,3,1
986,5,27,5,1
138,2,3,7,1
888,8,5,6,1
295,0,3,1,0
274,0,0,1,0
818,4,11,4,1
130,5,13,4,1
68,1,1,2,0
643,5,27,6,1
588,7,12,4,1
581,0,13,6,1
423,1,0,0,0
163,6,23,3,1
411,1,3,2,0
517,2,18,10,1
379,0,3,2,0
244,0,1,1,0
182,1,0,0,0
473,10,11,4,1
159,3,0,2,0
267,5,2,1,0
169,0,2,1,0
163,2,25,3,1
120,1,5,0,0
172,1,2,4,0
111,1,20,6,1
723,7,13,10,1
474,9,19,7,1
230,3,14,7,1
117,7,9,10,1
144,5,29,6,1
82,3,17,6,1
201,2,9,2,0
809,2,28,6,1
217,7,23,7,1
720,5,9,3,1
750,7,4,10,1
148,3,5,1,0
257,2,0,1,0
99,0,1,1,0
681,7,22,1,1
178,3,1,0,0
119,0,3,1,0
102,2,0,2,0
856,3,1,6,1
146,0,2,1,0
567,3,1,9,1
168,3,18,7,1
132,2,2,0,0
293,1,2,1,0
103,2,2,2,0
630,6,22,4,1
304,0,4,1,0
317,5,8,4,1
146,1,2,0,0
170,2,16,5,1
146,0,2,0,0
318,9,12,0,1
43,1,1,0,0
257,1,1,2,0
217,1,2,1,0
323,3,25,3,1
212,4,1,10,1
97,0,3,0,0
591,9,7,4,1
610,4,25,3,1
706,0,17,6,1
369,6,9,8,1
731,3,13,7,1
434,4,8,7,1
858,10,30,6,1
528,4,17,7,1
140,10,21,9,1
147,4,2,4,1
65,3,2,1,0
95,2,3,0,0
457,6,26,10,1
453,3,1,0,0
849,2,10,5,1
212,5,1,3,0
63,1,6,0,0
254,0,1,1,0
21,0,1,2,0
311,2,23,9,1
235,10,5,2,1
186,0,2,1,0
100,1,0,0,0
116,1,3,0,0
88,9,27,6,1
258,5,9,2,0
210,10,21,4,1
85,2,0,2,0
559,4,19,4,1
345,3,3,1,0
220,2,1,1,0
559,5,28,9,1
218,1,1,1,0
732,2,13,3,1
99,1,0,2,0
288,5,0,1,0
92,1,3,1,0
473,1,0,1,0
60,3,25,9,1
794,2,11,9,1
46,1,0,2,0
180,3,30,5,1
101,1,0,0,0
585,9,9,0,1
163,1,1,3,0
82,0,24,6,1
198,0,2,2,0
460,3,15,4,1
969,4,26,6,1
780,3,7,8,1
87,1,28,7,1
65,1,5,2,0
411,2,3,2,0
684,0,19,2,1
736,3,3,9,1
601,2,25,5,1
174,2,2,2,0
889,3,16,8,1
547,1,14,3,1
200,1,0,0,0
766,10,11,10,1
128,4,2,5,0
55,4,10,10,1
118,9,10,5,1
579,3,7,10,1
596,9,29,7,1
218,1,2,2,0
768,7,19,3,1
885,1,25,4,1
640,5,4,5,1
482,6,10,4,1
166,0,22,7,1
953,8,14,3,1
214,2,0,6,0
105,1,2,0,0
56,1,2,2,0
199,7,5,4,1
592,9,26,6,1
820,3,20,6,1
114,0,0,3,0
574,4,27,8,1
238,1,0,0,0
429,7,26,10,1
325,9,11,5,1
367,2,2,1,0
210,4,0,1,0
174,10,18,7,1
296,2,28,9,1
658,3,16,10,1
97,2,2,2,0
293,6,27,10,1
394,9,5,5,1
214,3,2,1,0
134,8,21,1,1
701,1,23,7,1
347,0,3,1,0
174,1,3,2,0
269,2,3,2,0
314,0,2,0,0
630,8,27,5,1
191,10,25,3,1
355,1,4,6,0
413,8,28,4,1
50,0,1,0,0
306,5,8,0,0
134,2,1,2,0
449,1,3,1,0
261,10,27,6,1
123,0,0,2,0
464,2,3,1,1
656,9,13,3,1
246,4,1,0,0
184,4,1,2,0
78,0,1,2,0
45,0,4,1,0
125,1,0,2,0
207,0,4,0,0
263,1,4,2,0
283,2,3,5,0
106,1,0,2,0
250,10,0,4,1
272,2,3,0,0
148,8,4,8,1
153,1,8,2,0
181,2,3,1,0
142,5,4,2,1
197,0,1,6,0
279,0,1,0,0
676,4,9,4,1
81,2,2,2,0
860,3,23,5,1
182,4,17,0,1
289,0,14,6,1
213,1,0,0,0
515,3,9,1,1
285,2,6,2,0
694,2,16,7,1
750,2,13,6,1
359,9,2,6,1
514,5,7,10,1
240,0,2,1,0
799,2,5,8,1
616,2,13,6,1
558,0,10,5,1
203,2,2,5,0
60,1,0,0,0
267,3,1,6,0
286,1,7,4,0
588,3,11,6,1
65,1,2,1,0
281,1,4,6,0
458,9,16,5,1
892,6,8,6,1
650,6,17,9,1
118,3,23,1,1
431,1,18,10,1
381,1,1,0,0
606,10,17,7,1
101,1,7,7,1
97,7,4,6,1
259,8,21,9,1
745,2,5,7,1
75,3,0,1,0
160,2,2,2,0
166,4,1,2,0
174,7,12,10,1
546,0,22,7,1
208,0,3,3,0
34,1,2,0,0
457,0,2,0,0
935,9,17,10,1
773,7,1,4,1
278,7,18,10,1
717,1,2,2,1
935,8,12,5,1
52,7,12,7,1
385,4,12,3,1
159,2,9,2,0
832,1,5,3,1
298,3,1,2,0
23,0,1,6,0
190,3,26,2,1
50,0,3,4,1
35,5,3,1,0
100,5,3,2,0
103,1,3,1,0
447,6,21,9,1
780,9,7,3,1
146,0,1,2,0
132,3,5,10,1
106,0,2,1,0
141,0,1,1,0
159,1,8,0,0
638,5,29,8,1
760,2,24,3,1
171,0,3,1,0
197,1,10,0,0
375,5,24,1,1
549,1,18,7,1
108,10,20,5,1
744,6,2,3,1
293,2,0,1,0
183,2,2,5,0
268,4,1,1,0
375,1,6,1,0
100,2,10,2,1
979,5,1,7,1
606,2,21,0,1
176,1,8,1,0
232,2,30,6,1
188,0,1,0,0
264,2,1,0,0
994,2,10,6,1
577,3,19,5,1
65,3,2,7,1
226,2,0,1,0
167,2,3,4,0
183,0,2,0,0
456,5,13,2,1
113,2,9,2,0
232,1,2,0,0
278,2,0,0,0
605,7,16,7,1
834,0,9,6,1
205,4,3,3,1
75,3,7,6,1
82,2,0,1,0
690,2,11,8,1
155,4,15,10,1
125,2,12,3,1
885,3,14,5,1
243,2,2,2,0
217,2,10,0,0
958,2,19,4,1
51,1,1,0,0
223,0,0,2,0
156,2,2,1,0
267,2,1,0,0
210,5,2,1,0
224,5,7,0,0
145,2,7,2,0
120,2,21,3,1
70,2,5,2,0
856,6,4,4,1
108,4,3,0,0
353,2,7,5,1
20,3,2,1,0
164,3,0,2,0
61,4,17,3,1
89,10,28,4,1
565,6,7,7,1
427,0,29,4,1
86,0,0,1,0
336,4,2,0,0
135,0,3,0,1
253,2,3,2,0
253,1,0,2,0
